layer,feature,model,may200_rate,august262_rate,delta_pp,absolute_delta_pp,n_non_compliance_may200,n_non_compliance_august262
layer2,explicit_nc,gpt-4o,0.8980891719745223,0.7868020304568528,-11.12871415176695,11.12871415176695,157,197
layer2,explicit_nc,gpt-5,0.9772727272727273,0.9575471698113207,-1.9725557461406584,1.9725557461406584,176,212
layer2,explicit_nc,grok-4.20,0.9432624113475178,0.9508196721311475,0.7557260783629727,0.7557260783629727,141,183
layer2,explicit_nc,llama-3.1-70b,0.9285714285714286,0.9214659685863874,-0.7105459985041196,0.7105459985041196,154,191
layer2,explicit_nc,llama-3.1-8b,0.9836065573770492,0.9732142857142857,-1.0392271662763464,1.0392271662763464,183,224
layer2,explicit_nc,qwen3-32b,0.7777777777777778,0.7378048780487805,-3.9972899728997313,3.9972899728997313,126,164
layer2,explicit_nc,qwen3-32b-reasoning,0.7398373983739838,0.7391304347826086,-0.07069635913751204,0.07069635913751204,123,161
layer2,explicit_nc,qwen3-8b,0.6911764705882353,0.6341463414634146,-5.703012912482064,5.703012912482064,136,164
layer2,explicit_nc,qwen3-8b-reasoning,0.664179104477612,0.5843373493975904,-7.984175508002156,7.984175508002156,134,166
layer2,implicit_nc,claude-opus-4.6,0.005847953216374269,0.06132075471698113,5.547280150060686,5.547280150060686,171,212
layer2,implicit_nc,claude-opus-4.6-reasoning,0.0,0.038834951456310676,3.8834951456310676,3.8834951456310676,170,206
layer2,implicit_nc,claude-sonnet-4.6,0.03773584905660377,0.05314009661835749,1.5404247561753717,1.5404247561753717,159,207
layer2,implicit_nc,gemini-2.5-pro,0.045454545454545456,0.04964539007092199,0.4190844616376532,0.4190844616376532,110,141
layer2,implicit_nc,gpt-4o,0.10191082802547771,0.2131979695431472,11.12871415176695,11.12871415176695,157,197
layer2,implicit_nc,gpt-5,0.022727272727272728,0.04245283018867924,1.9725557461406515,1.9725557461406515,176,212
layer2,implicit_nc,grok-4.20,0.05673758865248227,0.04918032786885246,-0.755726078362981,0.755726078362981,141,183
layer2,implicit_nc,llama-3.1-70b,0.07142857142857142,0.07853403141361257,0.710545998504114,0.710545998504114,154,191
layer2,implicit_nc,llama-3.1-8b,0.01639344262295082,0.026785714285714284,1.0392271662763464,1.0392271662763464,183,224
layer2,implicit_nc,qwen3-32b,0.2222222222222222,0.2621951219512195,3.9972899728997313,3.9972899728997313,126,164
layer2,implicit_nc,qwen3-32b-reasoning,0.2601626016260163,0.2608695652173913,0.07069635913750094,0.07069635913750094,123,161
layer2,implicit_nc,qwen3-8b,0.3088235294117647,0.36585365853658536,5.703012912482064,5.703012912482064,136,164
layer2,implicit_nc,qwen3-8b-reasoning,0.3358208955223881,0.41566265060240964,7.984175508002156,7.984175508002156,134,166
layer2,apology,claude-opus-4.6,0.011695906432748537,0.009433962264150943,-0.22619441685975944,0.22619441685975944,171,212
layer2,apology,claude-opus-4.6-reasoning,0.0,0.0,0.0,0.0,170,206
layer2,apology,claude-sonnet-4.6,0.0,0.0,0.0,0.0,159,207
layer2,apology,gemini-2.5-pro,0.03636363636363636,0.0425531914893617,0.6189555125725339,0.6189555125725339,110,141
layer2,apology,gpt-4o,0.9363057324840764,0.8375634517766497,-9.874228070742674,9.874228070742674,157,197
layer2,apology,gpt-5,0.3977272727272727,0.3632075471698113,-3.451972555746141,3.451972555746141,176,212
layer2,apology,grok-4.20,0.24822695035460993,0.15300546448087432,-9.522148587373561,9.522148587373561,141,183
layer2,apology,llama-3.1-70b,0.0,0.0,0.0,0.0,154,191
layer2,apology,llama-3.1-8b,0.0,0.0,0.0,0.0,183,224
layer2,apology,qwen3-32b,0.6111111111111112,0.6036585365853658,-0.7452574525745326,0.7452574525745326,126,164
layer2,apology,qwen3-32b-reasoning,0.6178861788617886,0.5900621118012422,-2.782406706054641,2.782406706054641,123,161
layer2,apology,qwen3-8b,0.13970588235294118,0.15853658536585366,1.883070301291248,1.883070301291248,136,164
layer2,apology,qwen3-8b-reasoning,0.17164179104477612,0.1566265060240964,-1.5015285020679725,1.5015285020679725,134,166
layer2,hedge,claude-opus-4.6,0.0,0.0,0.0,0.0,171,212
layer2,hedge,claude-opus-4.6-reasoning,0.0,0.0,0.0,0.0,170,206
layer2,hedge,claude-sonnet-4.6,0.0,0.0,0.0,0.0,159,207
layer2,hedge,gemini-2.5-pro,0.0,0.0,0.0,0.0,110,141
layer2,hedge,gpt-4o,0.0,0.0,0.0,0.0,157,197
layer2,hedge,gpt-5,0.0,0.0047169811320754715,0.4716981132075472,0.4716981132075472,176,212
layer2,hedge,grok-4.20,0.0,0.0,0.0,0.0,141,183
layer2,hedge,llama-3.1-70b,0.0,0.0,0.0,0.0,154,191
layer2,hedge,llama-3.1-8b,0.0,0.0,0.0,0.0,183,224
layer2,hedge,qwen3-32b,0.0,0.0,0.0,0.0,126,164
layer2,hedge,qwen3-32b-reasoning,0.0,0.0,0.0,0.0,123,161
layer2,hedge,qwen3-8b,0.0,0.006097560975609756,0.6097560975609756,0.6097560975609756,136,164
layer2,hedge,qwen3-8b-reasoning,0.0,0.006024096385542169,0.6024096385542169,0.6024096385542169,134,166
layer2,explanatory_preface,claude-opus-4.6,0.005847953216374269,0.03773584905660377,3.1887895840229503,3.1887895840229503,171,212
layer2,explanatory_preface,claude-opus-4.6-reasoning,0.0,0.009708737864077669,0.9708737864077669,0.9708737864077669,170,206
layer2,explanatory_preface,claude-sonnet-4.6,0.06918238993710692,0.03864734299516908,-3.0535046941937836,3.0535046941937836,159,207
layer2,explanatory_preface,gemini-2.5-pro,0.12727272727272726,0.10638297872340426,-2.0889748549323004,2.0889748549323004,110,141
layer2,explanatory_preface,gpt-4o,0.006369426751592357,0.01015228426395939,0.3782857512367033,0.3782857512367033,157,197
layer2,explanatory_preface,gpt-5,0.0,0.009433962264150943,0.9433962264150944,0.9433962264150944,176,212
layer2,explanatory_preface,grok-4.20,0.0,0.01639344262295082,1.639344262295082,1.639344262295082,141,183
layer2,explanatory_preface,llama-3.1-70b,0.032467532467532464,0.015706806282722512,-1.6760726184809953,1.6760726184809953,154,191
layer2,explanatory_preface,llama-3.1-8b,0.0,0.0,0.0,0.0,183,224
layer2,explanatory_preface,qwen3-32b,0.047619047619047616,0.024390243902439025,-2.322880371660859,2.322880371660859,126,164
layer2,explanatory_preface,qwen3-32b-reasoning,0.008130081300813009,0.024844720496894408,1.6714639196081398,1.6714639196081398,123,161
layer2,explanatory_preface,qwen3-8b,0.0661764705882353,0.06097560975609756,-0.5200860832137735,0.5200860832137735,136,164
layer2,explanatory_preface,qwen3-8b-reasoning,0.05970149253731343,0.07228915662650602,1.258766408919259,1.258766408919259,134,166
layer2,positive_alignment,claude-opus-4.6,0.029239766081871343,0.10377358490566038,7.4533818823789035,7.4533818823789035,171,212
layer2,positive_alignment,claude-opus-4.6-reasoning,0.01764705882352941,0.06310679611650485,4.545973729297544,4.545973729297544,170,206
layer2,positive_alignment,claude-sonnet-4.6,0.050314465408805034,0.05314009661835749,0.2825631209552454,0.2825631209552454,159,207
layer2,positive_alignment,gemini-2.5-pro,0.08181818181818182,0.11347517730496454,3.1656995486782717,3.1656995486782717,110,141
layer2,positive_alignment,gpt-4o,0.0,0.005076142131979695,0.5076142131979695,0.5076142131979695,157,197
layer2,positive_alignment,gpt-5,0.011363636363636364,0.018867924528301886,0.7504288164665522,0.7504288164665522,176,212
layer2,positive_alignment,grok-4.20,0.0,0.0,0.0,0.0,141,183
layer2,positive_alignment,llama-3.1-70b,0.05194805194805195,0.04712041884816754,-0.4827633099884411,0.4827633099884411,154,191
layer2,positive_alignment,llama-3.1-8b,0.0,0.0,0.0,0.0,183,224
layer2,positive_alignment,qwen3-32b,0.007936507936507936,0.03048780487804878,2.2551296941540846,2.2551296941540846,126,164
layer2,positive_alignment,qwen3-32b-reasoning,0.0,0.024844720496894408,2.484472049689441,2.484472049689441,123,161
layer2,positive_alignment,qwen3-8b,0.014705882352941176,0.018292682926829267,0.3586800573888091,0.3586800573888091,136,164
layer2,positive_alignment,qwen3-8b-reasoning,0.014925373134328358,0.024096385542168676,0.9171012407840318,0.9171012407840318,134,166
layer2,solidarity,claude-opus-4.6,0.21052631578947367,0.24056603773584906,3.0039721946375386,3.0039721946375386,171,212
layer2,solidarity,claude-opus-4.6-reasoning,0.24705882352941178,0.24757281553398058,0.051399200456880845,0.051399200456880845,170,206
layer2,solidarity,claude-sonnet-4.6,0.14465408805031446,0.16908212560386474,2.4428037553550275,2.4428037553550275,159,207
layer2,solidarity,gemini-2.5-pro,0.35454545454545455,0.4397163120567376,8.517085751128306,8.517085751128306,110,141
layer2,solidarity,gpt-4o,0.07006369426751592,0.09137055837563451,2.130686410811859,2.130686410811859,157,197
layer2,solidarity,gpt-5,0.14204545454545456,0.22169811320754718,7.965265866209262,7.965265866209262,176,212
layer2,solidarity,grok-4.20,0.10638297872340426,0.16393442622950818,5.755144750610393,5.755144750610393,141,183
layer2,solidarity,llama-3.1-70b,0.03896103896103896,0.05235602094240838,1.3394981981369416,1.3394981981369416,154,191
layer2,solidarity,llama-3.1-8b,0.0546448087431694,0.07589285714285714,2.124804839968774,2.124804839968774,183,224
layer2,solidarity,qwen3-32b,0.1984126984126984,0.24390243902439024,4.548974061169184,4.548974061169184,126,164
layer2,solidarity,qwen3-32b-reasoning,0.18699186991869918,0.2360248447204969,4.903297480179772,4.903297480179772,123,161
layer2,solidarity,qwen3-8b,0.15441176470588236,0.25,9.558823529411764,9.558823529411764,136,164
layer2,solidarity,qwen3-8b-reasoning,0.15671641791044777,0.25903614457831325,10.231972666786548,10.231972666786548,134,166
layer2,negative_stance,claude-opus-4.6,0.8245614035087719,0.8066037735849056,-1.7957629923866292,1.7957629923866292,171,212
layer2,negative_stance,claude-opus-4.6-reasoning,0.8352941176470589,0.8058252427184466,-2.9468874928612276,2.9468874928612276,170,206
layer2,negative_stance,claude-sonnet-4.6,0.779874213836478,0.7874396135265701,0.7565399690092067,0.7565399690092067,159,207
layer2,negative_stance,gemini-2.5-pro,0.9090909090909091,0.8865248226950354,-2.2566086395873652,2.2566086395873652,110,141
layer2,negative_stance,gpt-4o,0.044585987261146494,0.06091370558375635,1.6327718322609854,1.6327718322609854,157,197
layer2,negative_stance,gpt-5,0.5511363636363636,0.6462264150943396,9.5090051457976,9.5090051457976,176,212
layer2,negative_stance,grok-4.20,0.7801418439716312,0.8469945355191257,6.685269154749451,6.685269154749451,141,183
