layer,feature,model,may_rate,august_rate,delta_pp,absolute_delta_pp,n_non_compliance_may,n_non_compliance_august
layer2,apology,qwen3-8b,0.1717171717171717,0.14444444444444443,-2.7272727272727284,2.7272727272727284,99,90
layer2,apology,qwen3-8b-reasoning,0.16666666666666666,0.13978494623655913,-2.688172043010753,2.688172043010753,96,93
layer2,hedge,claude-opus-4.6,0.0,0.0,0.0,0.0,118,113
layer2,hedge,claude-opus-4.6-reasoning,0.0,0.0,0.0,0.0,115,105
layer2,hedge,claude-sonnet-4.6,0.0,0.0,0.0,0.0,109,108
layer2,hedge,gemini-2.5-pro,0.0,0.0,0.0,0.0,85,81
layer2,hedge,gpt-4o,0.0,0.0,0.0,0.0,105,100
layer2,hedge,gpt-5,0.0,0.0,0.0,0.0,120,114
layer2,hedge,grok-4.20,0.0,0.0,0.0,0.0,106,108
layer2,hedge,llama-3.1-70b,0.0,0.0,0.0,0.0,103,107
layer2,hedge,llama-3.1-8b,0.0,0.0,0.0,0.0,126,118
layer2,hedge,qwen3-32b,0.0,0.0,0.0,0.0,92,92
layer2,hedge,qwen3-32b-reasoning,0.0,0.0,0.0,0.0,90,89
layer2,hedge,qwen3-8b,0.0,0.0,0.0,0.0,99,90
layer2,hedge,qwen3-8b-reasoning,0.0,0.0,0.0,0.0,96,93
layer2,explanatory_preface,claude-opus-4.6,0.00847457627118644,0.02654867256637168,1.8074096295185242,1.8074096295185242,118,113
layer2,explanatory_preface,claude-opus-4.6-reasoning,0.0,0.009523809523809525,0.9523809523809524,0.9523809523809524,115,105
layer2,explanatory_preface,claude-sonnet-4.6,0.06422018348623854,0.046296296296296294,-1.7923887189942243,1.7923887189942243,109,108
layer2,explanatory_preface,gemini-2.5-pro,0.15294117647058825,0.1111111111111111,-4.183006535947714,4.183006535947714,85,81
layer2,explanatory_preface,gpt-4o,0.009523809523809525,0.01,0.047619047619047554,0.047619047619047554,105,100
layer2,explanatory_preface,gpt-5,0.0,0.008771929824561403,0.8771929824561403,0.8771929824561403,120,114
layer2,explanatory_preface,grok-4.20,0.0,0.009259259259259259,0.9259259259259258,0.9259259259259258,106,108
layer2,explanatory_preface,llama-3.1-70b,0.04854368932038835,0.018691588785046728,-2.985210053534162,2.985210053534162,103,107
layer2,explanatory_preface,llama-3.1-8b,0.0,0.0,0.0,0.0,126,118
layer2,explanatory_preface,qwen3-32b,0.05434782608695652,0.021739130434782608,-3.260869565217391,3.260869565217391,92,92
layer2,explanatory_preface,qwen3-32b-reasoning,0.011111111111111112,0.02247191011235955,1.1360799001248438,1.1360799001248438,90,89
layer2,explanatory_preface,qwen3-8b,0.06060606060606061,0.1,3.93939393939394,3.93939393939394,99,90
layer2,explanatory_preface,qwen3-8b-reasoning,0.041666666666666664,0.0967741935483871,5.510752688172043,5.510752688172043,96,93
layer2,positive_alignment,claude-opus-4.6,0.03389830508474576,0.07964601769911504,4.574771261436928,4.574771261436928,118,113
layer2,positive_alignment,claude-opus-4.6-reasoning,0.02608695652173913,0.02857142857142857,0.24844720496894415,0.24844720496894415,115,105
layer2,positive_alignment,claude-sonnet-4.6,0.05504587155963303,0.027777777777777776,-2.7268093781855254,2.7268093781855254,109,108
layer2,positive_alignment,gemini-2.5-pro,0.10588235294117647,0.08641975308641975,-1.9462599854756721,1.9462599854756721,85,81
layer2,positive_alignment,gpt-4o,0.0,0.0,0.0,0.0,105,100
layer2,positive_alignment,gpt-5,0.008333333333333333,0.017543859649122806,0.9210526315789472,0.9210526315789472,120,114
layer2,positive_alignment,grok-4.20,0.0,0.0,0.0,0.0,106,108
layer2,positive_alignment,llama-3.1-70b,0.07766990291262135,0.06542056074766354,-1.2249342164957808,1.2249342164957808,103,107
layer2,positive_alignment,llama-3.1-8b,0.0,0.0,0.0,0.0,126,118
layer2,positive_alignment,qwen3-32b,0.010869565217391304,0.021739130434782608,1.0869565217391304,1.0869565217391304,92,92
